feature_name,state,module,statistic,pathology_used_to_define_feature
raw_gene_preserved__Micro-PVM_2__complement_phagocytosis__q90,Micro-PVM_2,complement_phagocytosis,q90,False
raw_gene_preserved__Micro-PVM_2__complement_phagocytosis__high_cell_fraction,Micro-PVM_2,complement_phagocytosis,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_2__antigen_presentation__mean,Micro-PVM_2,antigen_presentation,mean,False
raw_gene_preserved__Micro-PVM_2__antigen_presentation__q90,Micro-PVM_2,antigen_presentation,q90,False
raw_gene_preserved__Micro-PVM_2__antigen_presentation__high_cell_fraction,Micro-PVM_2,antigen_presentation,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_2__interferon_inflammatory__mean,Micro-PVM_2,interferon_inflammatory,mean,False
raw_gene_preserved__Micro-PVM_2__interferon_inflammatory__q90,Micro-PVM_2,interferon_inflammatory,q90,False
raw_gene_preserved__Micro-PVM_2__interferon_inflammatory__high_cell_fraction,Micro-PVM_2,interferon_inflammatory,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_2__oxidative_stress_gene_preserved__mean,Micro-PVM_2,oxidative_stress_gene_preserved,mean,False
raw_gene_preserved__Micro-PVM_2__oxidative_stress_gene_preserved__q90,Micro-PVM_2,oxidative_stress_gene_preserved,q90,False
raw_gene_preserved__Micro-PVM_2__oxidative_stress_gene_preserved__high_cell_fraction,Micro-PVM_2,oxidative_stress_gene_preserved,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_3-SEAAD__dam_lipid_trem2_apoe__mean,Micro-PVM_3-SEAAD,dam_lipid_trem2_apoe,mean,False
raw_gene_preserved__Micro-PVM_3-SEAAD__dam_lipid_trem2_apoe__q90,Micro-PVM_3-SEAAD,dam_lipid_trem2_apoe,q90,False
raw_gene_preserved__Micro-PVM_3-SEAAD__dam_lipid_trem2_apoe__high_cell_fraction,Micro-PVM_3-SEAAD,dam_lipid_trem2_apoe,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_3-SEAAD__lysosomal_endolysosomal__mean,Micro-PVM_3-SEAAD,lysosomal_endolysosomal,mean,False
raw_gene_preserved__Micro-PVM_3-SEAAD__lysosomal_endolysosomal__q90,Micro-PVM_3-SEAAD,lysosomal_endolysosomal,q90,False
raw_gene_preserved__Micro-PVM_3-SEAAD__lysosomal_endolysosomal__high_cell_fraction,Micro-PVM_3-SEAAD,lysosomal_endolysosomal,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_3-SEAAD__complement_phagocytosis__mean,Micro-PVM_3-SEAAD,complement_phagocytosis,mean,False
raw_gene_preserved__Micro-PVM_3-SEAAD__complement_phagocytosis__q90,Micro-PVM_3-SEAAD,complement_phagocytosis,q90,False
raw_gene_preserved__Micro-PVM_3-SEAAD__complement_phagocytosis__high_cell_fraction,Micro-PVM_3-SEAAD,complement_phagocytosis,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_3-SEAAD__antigen_presentation__mean,Micro-PVM_3-SEAAD,antigen_presentation,mean,False
raw_gene_preserved__Micro-PVM_3-SEAAD__antigen_presentation__q90,Micro-PVM_3-SEAAD,antigen_presentation,q90,False
raw_gene_preserved__Micro-PVM_3-SEAAD__antigen_presentation__high_cell_fraction,Micro-PVM_3-SEAAD,antigen_presentation,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_3-SEAAD__interferon_inflammatory__mean,Micro-PVM_3-SEAAD,interferon_inflammatory,mean,False
raw_gene_preserved__Micro-PVM_3-SEAAD__interferon_inflammatory__q90,Micro-PVM_3-SEAAD,interferon_inflammatory,q90,False
raw_gene_preserved__Micro-PVM_3-SEAAD__interferon_inflammatory__high_cell_fraction,Micro-PVM_3-SEAAD,interferon_inflammatory,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_3-SEAAD__oxidative_stress_gene_preserved__mean,Micro-PVM_3-SEAAD,oxidative_stress_gene_preserved,mean,False
raw_gene_preserved__Micro-PVM_3-SEAAD__oxidative_stress_gene_preserved__q90,Micro-PVM_3-SEAAD,oxidative_stress_gene_preserved,q90,False
raw_gene_preserved__Micro-PVM_3-SEAAD__oxidative_stress_gene_preserved__high_cell_fraction,Micro-PVM_3-SEAAD,oxidative_stress_gene_preserved,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_1__dam_lipid_trem2_apoe__mean,Micro-PVM_1,dam_lipid_trem2_apoe,mean,False
raw_gene_preserved__Micro-PVM_1__dam_lipid_trem2_apoe__q90,Micro-PVM_1,dam_lipid_trem2_apoe,q90,False
raw_gene_preserved__Micro-PVM_1__dam_lipid_trem2_apoe__high_cell_fraction,Micro-PVM_1,dam_lipid_trem2_apoe,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_1__lysosomal_endolysosomal__mean,Micro-PVM_1,lysosomal_endolysosomal,mean,False
raw_gene_preserved__Micro-PVM_1__lysosomal_endolysosomal__q90,Micro-PVM_1,lysosomal_endolysosomal,q90,False
raw_gene_preserved__Micro-PVM_1__lysosomal_endolysosomal__high_cell_fraction,Micro-PVM_1,lysosomal_endolysosomal,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_1__complement_phagocytosis__mean,Micro-PVM_1,complement_phagocytosis,mean,False
raw_gene_preserved__Micro-PVM_1__complement_phagocytosis__q90,Micro-PVM_1,complement_phagocytosis,q90,False
raw_gene_preserved__Micro-PVM_1__complement_phagocytosis__high_cell_fraction,Micro-PVM_1,complement_phagocytosis,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_1__antigen_presentation__mean,Micro-PVM_1,antigen_presentation,mean,False
raw_gene_preserved__Micro-PVM_1__antigen_presentation__q90,Micro-PVM_1,antigen_presentation,q90,False
raw_gene_preserved__Micro-PVM_1__antigen_presentation__high_cell_fraction,Micro-PVM_1,antigen_presentation,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_1__interferon_inflammatory__mean,Micro-PVM_1,interferon_inflammatory,mean,False
raw_gene_preserved__Micro-PVM_1__interferon_inflammatory__q90,Micro-PVM_1,interferon_inflammatory,q90,False
raw_gene_preserved__Micro-PVM_1__interferon_inflammatory__high_cell_fraction,Micro-PVM_1,interferon_inflammatory,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_1__oxidative_stress_gene_preserved__mean,Micro-PVM_1,oxidative_stress_gene_preserved,mean,False
raw_gene_preserved__Micro-PVM_1__oxidative_stress_gene_preserved__q90,Micro-PVM_1,oxidative_stress_gene_preserved,q90,False
raw_gene_preserved__Micro-PVM_1__oxidative_stress_gene_preserved__high_cell_fraction,Micro-PVM_1,oxidative_stress_gene_preserved,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_2__dam_lipid_trem2_apoe__mean,Micro-PVM_2,dam_lipid_trem2_apoe,mean,False
raw_gene_preserved__Micro-PVM_2__dam_lipid_trem2_apoe__q90,Micro-PVM_2,dam_lipid_trem2_apoe,q90,False
raw_gene_preserved__Micro-PVM_2__dam_lipid_trem2_apoe__high_cell_fraction,Micro-PVM_2,dam_lipid_trem2_apoe,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_2__lysosomal_endolysosomal__mean,Micro-PVM_2,lysosomal_endolysosomal,mean,False
raw_gene_preserved__Micro-PVM_2__lysosomal_endolysosomal__q90,Micro-PVM_2,lysosomal_endolysosomal,q90,False
raw_gene_preserved__Micro-PVM_2__lysosomal_endolysosomal__high_cell_fraction,Micro-PVM_2,lysosomal_endolysosomal,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_2__complement_phagocytosis__mean,Micro-PVM_2,complement_phagocytosis,mean,False
raw_gene_preserved__Micro-PVM_2__complement_phagocytosis__q90,Micro-PVM_2,complement_phagocytosis,q90,False
raw_gene_preserved__Micro-PVM_2__complement_phagocytosis__high_cell_fraction,Micro-PVM_2,complement_phagocytosis,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_2__antigen_presentation__mean,Micro-PVM_2,antigen_presentation,mean,False
raw_gene_preserved__Micro-PVM_2__antigen_presentation__q90,Micro-PVM_2,antigen_presentation,q90,False
raw_gene_preserved__Micro-PVM_2__antigen_presentation__high_cell_fraction,Micro-PVM_2,antigen_presentation,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_2__interferon_inflammatory__mean,Micro-PVM_2,interferon_inflammatory,mean,False
raw_gene_preserved__Micro-PVM_2__interferon_inflammatory__q90,Micro-PVM_2,interferon_inflammatory,q90,False
raw_gene_preserved__Micro-PVM_2__interferon_inflammatory__high_cell_fraction,Micro-PVM_2,interferon_inflammatory,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_2__oxidative_stress_gene_preserved__mean,Micro-PVM_2,oxidative_stress_gene_preserved,mean,False
raw_gene_preserved__Micro-PVM_2__oxidative_stress_gene_preserved__q90,Micro-PVM_2,oxidative_stress_gene_preserved,q90,False
raw_gene_preserved__Micro-PVM_2__oxidative_stress_gene_preserved__high_cell_fraction,Micro-PVM_2,oxidative_stress_gene_preserved,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_3-SEAAD__dam_lipid_trem2_apoe__mean,Micro-PVM_3-SEAAD,dam_lipid_trem2_apoe,mean,False
raw_gene_preserved__Micro-PVM_3-SEAAD__dam_lipid_trem2_apoe__q90,Micro-PVM_3-SEAAD,dam_lipid_trem2_apoe,q90,False
raw_gene_preserved__Micro-PVM_3-SEAAD__dam_lipid_trem2_apoe__high_cell_fraction,Micro-PVM_3-SEAAD,dam_lipid_trem2_apoe,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_3-SEAAD__lysosomal_endolysosomal__mean,Micro-PVM_3-SEAAD,lysosomal_endolysosomal,mean,False
raw_gene_preserved__Micro-PVM_3-SEAAD__lysosomal_endolysosomal__q90,Micro-PVM_3-SEAAD,lysosomal_endolysosomal,q90,False
raw_gene_preserved__Micro-PVM_3-SEAAD__lysosomal_endolysosomal__high_cell_fraction,Micro-PVM_3-SEAAD,lysosomal_endolysosomal,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_3-SEAAD__complement_phagocytosis__mean,Micro-PVM_3-SEAAD,complement_phagocytosis,mean,False
raw_gene_preserved__Micro-PVM_3-SEAAD__complement_phagocytosis__q90,Micro-PVM_3-SEAAD,complement_phagocytosis,q90,False
raw_gene_preserved__Micro-PVM_3-SEAAD__complement_phagocytosis__high_cell_fraction,Micro-PVM_3-SEAAD,complement_phagocytosis,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_3-SEAAD__antigen_presentation__mean,Micro-PVM_3-SEAAD,antigen_presentation,mean,False
raw_gene_preserved__Micro-PVM_3-SEAAD__antigen_presentation__q90,Micro-PVM_3-SEAAD,antigen_presentation,q90,False
raw_gene_preserved__Micro-PVM_3-SEAAD__antigen_presentation__high_cell_fraction,Micro-PVM_3-SEAAD,antigen_presentation,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_3-SEAAD__interferon_inflammatory__mean,Micro-PVM_3-SEAAD,interferon_inflammatory,mean,False
raw_gene_preserved__Micro-PVM_3-SEAAD__interferon_inflammatory__q90,Micro-PVM_3-SEAAD,interferon_inflammatory,q90,False
raw_gene_preserved__Micro-PVM_3-SEAAD__interferon_inflammatory__high_cell_fraction,Micro-PVM_3-SEAAD,interferon_inflammatory,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_3-SEAAD__oxidative_stress_gene_preserved__mean,Micro-PVM_3-SEAAD,oxidative_stress_gene_preserved,mean,False
raw_gene_preserved__Micro-PVM_3-SEAAD__oxidative_stress_gene_preserved__q90,Micro-PVM_3-SEAAD,oxidative_stress_gene_preserved,q90,False
raw_gene_preserved__Micro-PVM_3-SEAAD__oxidative_stress_gene_preserved__high_cell_fraction,Micro-PVM_3-SEAAD,oxidative_stress_gene_preserved,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_1__dam_lipid_trem2_apoe__mean,Micro-PVM_1,dam_lipid_trem2_apoe,mean,False
raw_gene_preserved__Micro-PVM_1__dam_lipid_trem2_apoe__q90,Micro-PVM_1,dam_lipid_trem2_apoe,q90,False
raw_gene_preserved__Micro-PVM_1__dam_lipid_trem2_apoe__high_cell_fraction,Micro-PVM_1,dam_lipid_trem2_apoe,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_1__lysosomal_endolysosomal__mean,Micro-PVM_1,lysosomal_endolysosomal,mean,False
raw_gene_preserved__Micro-PVM_1__lysosomal_endolysosomal__q90,Micro-PVM_1,lysosomal_endolysosomal,q90,False
raw_gene_preserved__Micro-PVM_1__lysosomal_endolysosomal__high_cell_fraction,Micro-PVM_1,lysosomal_endolysosomal,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_1__complement_phagocytosis__mean,Micro-PVM_1,complement_phagocytosis,mean,False
raw_gene_preserved__Micro-PVM_1__complement_phagocytosis__q90,Micro-PVM_1,complement_phagocytosis,q90,False
raw_gene_preserved__Micro-PVM_1__complement_phagocytosis__high_cell_fraction,Micro-PVM_1,complement_phagocytosis,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_1__antigen_presentation__mean,Micro-PVM_1,antigen_presentation,mean,False
raw_gene_preserved__Micro-PVM_1__antigen_presentation__q90,Micro-PVM_1,antigen_presentation,q90,False
raw_gene_preserved__Micro-PVM_1__antigen_presentation__high_cell_fraction,Micro-PVM_1,antigen_presentation,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_1__interferon_inflammatory__mean,Micro-PVM_1,interferon_inflammatory,mean,False
raw_gene_preserved__Micro-PVM_1__interferon_inflammatory__q90,Micro-PVM_1,interferon_inflammatory,q90,False
raw_gene_preserved__Micro-PVM_1__interferon_inflammatory__high_cell_fraction,Micro-PVM_1,interferon_inflammatory,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_1__oxidative_stress_gene_preserved__mean,Micro-PVM_1,oxidative_stress_gene_preserved,mean,False
raw_gene_preserved__Micro-PVM_1__oxidative_stress_gene_preserved__q90,Micro-PVM_1,oxidative_stress_gene_preserved,q90,False
raw_gene_preserved__Micro-PVM_1__oxidative_stress_gene_preserved__high_cell_fraction,Micro-PVM_1,oxidative_stress_gene_preserved,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_2__dam_lipid_trem2_apoe__mean,Micro-PVM_2,dam_lipid_trem2_apoe,mean,False
raw_gene_preserved__Micro-PVM_2__dam_lipid_trem2_apoe__q90,Micro-PVM_2,dam_lipid_trem2_apoe,q90,False
raw_gene_preserved__Micro-PVM_2__dam_lipid_trem2_apoe__high_cell_fraction,Micro-PVM_2,dam_lipid_trem2_apoe,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_2__lysosomal_endolysosomal__mean,Micro-PVM_2,lysosomal_endolysosomal,mean,False
raw_gene_preserved__Micro-PVM_2__lysosomal_endolysosomal__q90,Micro-PVM_2,lysosomal_endolysosomal,q90,False
raw_gene_preserved__Micro-PVM_2__lysosomal_endolysosomal__high_cell_fraction,Micro-PVM_2,lysosomal_endolysosomal,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_2__complement_phagocytosis__mean,Micro-PVM_2,complement_phagocytosis,mean,False
raw_gene_preserved__Micro-PVM_2__complement_phagocytosis__q90,Micro-PVM_2,complement_phagocytosis,q90,False
raw_gene_preserved__Micro-PVM_2__complement_phagocytosis__high_cell_fraction,Micro-PVM_2,complement_phagocytosis,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_2__antigen_presentation__mean,Micro-PVM_2,antigen_presentation,mean,False
raw_gene_preserved__Micro-PVM_2__antigen_presentation__q90,Micro-PVM_2,antigen_presentation,q90,False
raw_gene_preserved__Micro-PVM_2__antigen_presentation__high_cell_fraction,Micro-PVM_2,antigen_presentation,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_2__interferon_inflammatory__mean,Micro-PVM_2,interferon_inflammatory,mean,False
raw_gene_preserved__Micro-PVM_2__interferon_inflammatory__q90,Micro-PVM_2,interferon_inflammatory,q90,False
raw_gene_preserved__Micro-PVM_2__interferon_inflammatory__high_cell_fraction,Micro-PVM_2,interferon_inflammatory,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_2__oxidative_stress_gene_preserved__mean,Micro-PVM_2,oxidative_stress_gene_preserved,mean,False
raw_gene_preserved__Micro-PVM_2__oxidative_stress_gene_preserved__q90,Micro-PVM_2,oxidative_stress_gene_preserved,q90,False
raw_gene_preserved__Micro-PVM_2__oxidative_stress_gene_preserved__high_cell_fraction,Micro-PVM_2,oxidative_stress_gene_preserved,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_3-SEAAD__dam_lipid_trem2_apoe__mean,Micro-PVM_3-SEAAD,dam_lipid_trem2_apoe,mean,False
raw_gene_preserved__Micro-PVM_3-SEAAD__dam_lipid_trem2_apoe__q90,Micro-PVM_3-SEAAD,dam_lipid_trem2_apoe,q90,False
raw_gene_preserved__Micro-PVM_3-SEAAD__dam_lipid_trem2_apoe__high_cell_fraction,Micro-PVM_3-SEAAD,dam_lipid_trem2_apoe,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_3-SEAAD__lysosomal_endolysosomal__mean,Micro-PVM_3-SEAAD,lysosomal_endolysosomal,mean,False
raw_gene_preserved__Micro-PVM_3-SEAAD__lysosomal_endolysosomal__q90,Micro-PVM_3-SEAAD,lysosomal_endolysosomal,q90,False
raw_gene_preserved__Micro-PVM_3-SEAAD__lysosomal_endolysosomal__high_cell_fraction,Micro-PVM_3-SEAAD,lysosomal_endolysosomal,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_3-SEAAD__complement_phagocytosis__mean,Micro-PVM_3-SEAAD,complement_phagocytosis,mean,False
raw_gene_preserved__Micro-PVM_3-SEAAD__complement_phagocytosis__q90,Micro-PVM_3-SEAAD,complement_phagocytosis,q90,False
raw_gene_preserved__Micro-PVM_3-SEAAD__complement_phagocytosis__high_cell_fraction,Micro-PVM_3-SEAAD,complement_phagocytosis,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_3-SEAAD__antigen_presentation__mean,Micro-PVM_3-SEAAD,antigen_presentation,mean,False
raw_gene_preserved__Micro-PVM_3-SEAAD__antigen_presentation__q90,Micro-PVM_3-SEAAD,antigen_presentation,q90,False
raw_gene_preserved__Micro-PVM_3-SEAAD__antigen_presentation__high_cell_fraction,Micro-PVM_3-SEAAD,antigen_presentation,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_3-SEAAD__interferon_inflammatory__mean,Micro-PVM_3-SEAAD,interferon_inflammatory,mean,False
raw_gene_preserved__Micro-PVM_3-SEAAD__interferon_inflammatory__q90,Micro-PVM_3-SEAAD,interferon_inflammatory,q90,False
raw_gene_preserved__Micro-PVM_3-SEAAD__interferon_inflammatory__high_cell_fraction,Micro-PVM_3-SEAAD,interferon_inflammatory,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_3-SEAAD__oxidative_stress_gene_preserved__mean,Micro-PVM_3-SEAAD,oxidative_stress_gene_preserved,mean,False
raw_gene_preserved__Micro-PVM_3-SEAAD__oxidative_stress_gene_preserved__q90,Micro-PVM_3-SEAAD,oxidative_stress_gene_preserved,q90,False
raw_gene_preserved__Micro-PVM_3-SEAAD__oxidative_stress_gene_preserved__high_cell_fraction,Micro-PVM_3-SEAAD,oxidative_stress_gene_preserved,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_4-SEAAD__dam_lipid_trem2_apoe__mean,Micro-PVM_4-SEAAD,dam_lipid_trem2_apoe,mean,False
raw_gene_preserved__Micro-PVM_4-SEAAD__dam_lipid_trem2_apoe__q90,Micro-PVM_4-SEAAD,dam_lipid_trem2_apoe,q90,False
raw_gene_preserved__Micro-PVM_4-SEAAD__dam_lipid_trem2_apoe__high_cell_fraction,Micro-PVM_4-SEAAD,dam_lipid_trem2_apoe,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_4-SEAAD__lysosomal_endolysosomal__mean,Micro-PVM_4-SEAAD,lysosomal_endolysosomal,mean,False
raw_gene_preserved__Micro-PVM_4-SEAAD__lysosomal_endolysosomal__q90,Micro-PVM_4-SEAAD,lysosomal_endolysosomal,q90,False
raw_gene_preserved__Micro-PVM_4-SEAAD__lysosomal_endolysosomal__high_cell_fraction,Micro-PVM_4-SEAAD,lysosomal_endolysosomal,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_4-SEAAD__complement_phagocytosis__mean,Micro-PVM_4-SEAAD,complement_phagocytosis,mean,False
raw_gene_preserved__Micro-PVM_4-SEAAD__complement_phagocytosis__q90,Micro-PVM_4-SEAAD,complement_phagocytosis,q90,False
raw_gene_preserved__Micro-PVM_4-SEAAD__complement_phagocytosis__high_cell_fraction,Micro-PVM_4-SEAAD,complement_phagocytosis,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_4-SEAAD__antigen_presentation__mean,Micro-PVM_4-SEAAD,antigen_presentation,mean,False
raw_gene_preserved__Micro-PVM_4-SEAAD__antigen_presentation__q90,Micro-PVM_4-SEAAD,antigen_presentation,q90,False
raw_gene_preserved__Micro-PVM_4-SEAAD__antigen_presentation__high_cell_fraction,Micro-PVM_4-SEAAD,antigen_presentation,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_4-SEAAD__interferon_inflammatory__mean,Micro-PVM_4-SEAAD,interferon_inflammatory,mean,False
raw_gene_preserved__Micro-PVM_4-SEAAD__interferon_inflammatory__q90,Micro-PVM_4-SEAAD,interferon_inflammatory,q90,False
raw_gene_preserved__Micro-PVM_4-SEAAD__interferon_inflammatory__high_cell_fraction,Micro-PVM_4-SEAAD,interferon_inflammatory,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_4-SEAAD__oxidative_stress_gene_preserved__mean,Micro-PVM_4-SEAAD,oxidative_stress_gene_preserved,mean,False
raw_gene_preserved__Micro-PVM_4-SEAAD__oxidative_stress_gene_preserved__q90,Micro-PVM_4-SEAAD,oxidative_stress_gene_preserved,q90,False
raw_gene_preserved__Micro-PVM_4-SEAAD__oxidative_stress_gene_preserved__high_cell_fraction,Micro-PVM_4-SEAAD,oxidative_stress_gene_preserved,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_1__dam_lipid_trem2_apoe__mean,Micro-PVM_1,dam_lipid_trem2_apoe,mean,False
raw_gene_preserved__Micro-PVM_1__dam_lipid_trem2_apoe__q90,Micro-PVM_1,dam_lipid_trem2_apoe,q90,False
raw_gene_preserved__Micro-PVM_1__dam_lipid_trem2_apoe__high_cell_fraction,Micro-PVM_1,dam_lipid_trem2_apoe,high_cell_fraction,False
raw_gene_preserved__Micro-PVM_1__lysosomal_endolysosomal__mean,Micro-PVM_1,lysosomal_endolysosomal,mean,False
raw_gene_preserved__Micro-PVM_1__lysosomal_endolysosomal__q90,Micro-PVM_1,lysosomal_endolysosomal,q90,False
raw_gene_preserved__Micro-PVM_1__lysosomal_endolysosomal__high_cell_fraction,Micro-PVM_1,lysosomal_endolysosomal,high_cell_fraction,False
